site,regional_association,affiliation,report_rate,patterntype_override,patterntype_ignore
VEN,SECOORA,USF,20,,
VENI,SECOORA,USF,60,,
WEST,SECOORA,USF,60,,
BELM,,Rutgers,60,,
CAT,,SKIO,30,,
CLUB,,Rutgers,60,,
COMM,,CODAR,60,,
CSTM,,UMaine,60,,
GMNB,,UMaine,60,,
GRNI,,UMaine,60,,
HOMR,,Rutgers,60,,
JOUB,,Rutgers,60,,
LEND,,SFSU,60,,
LOOK,,Rutgers,60,,
METS,,WHOI,15,,
NPGS,,CODAR,60,,
PALM,,Rutgers,60,,
PESC,,NPS,60,,
PSUR,,NPS,60,,
RLVR,,TexAM,60,,
SDCI,,SIO,60,,
SDSM,,SIO,60,,
SLTR,,UDEL,60,,
SQUB,,WHOI,15,,
TRES,,SFSU,30,,
WAUW,,Rutgers,60,,
